question_id,image_id,question,semantic_type,true_answer,pipeline,prediction,prediction_norm,exact_correct,lenient_correct,tokens_tiktoken,latency_ms,sst_prompt,reasoning_prompt
19909115,2409655,On which side of the picture is the chimney?,attr,right,full_sst_mistral,Left,left,0,0,849,6785.486041997501,"Objects: windows, cars, chair, sky, street, hook, pole, chains, porch, trash, waffles, wall, floor, window, chimney, sign, fence, bricks, post, building, car, dumpster
Counts: 
Attributes: cars: white, cars: parked, chair: white, sky: white, wall: brick, wall: red, floor: tiled, sign: neon, fence: tall, bricks: red, building: large, building: red, car: white, dumpster: large
Relations: windows to the left of bricks, windows to the left of window, windows to the left of pole, cars on street, cars to the right of chains, cars to the right of chair, cars to the left of building, cars to the right of post, cars to the left of dumpster, cars to the left of car, chair to the left of car, chair to the left of building, chair to the left of dumpster, chair to the left of chains, chair to the left of cars, chair to the right of post, chair to the right of wall, sky to the right of sign, street to the right of post, hook to the left of porch, hook to the left of post, pole to the right of window, pole to the right of chimney, pole to the right of dumpster, pole to the right of car, pole to the right of bricks, pole to the right of windows, pole to the right of trash, chains to the left of dumpster, chains to the left of car, chains to the right of chair, chains to the left of building, chains to the right of post, chains to the right of wall, chains to the left of cars, porch to the right of post, porch to the left of building, porch to the right of hook, porch to the right of wall, trash to the left of pole, trash to the right of fence, wall to the left of fence, wall to the left of post, wall to the left of chair, wall to the left of porch, wall to the left of chains, floor to the right of post, window to the right of chimney, window to the right of windows, window to the right of bricks, window to the left of pole, chimney to the left of pole, chimney to the left of window, chimney to the left of bricks, sign to the left of sky, fence to the left of trash, fence to the right of wall, fence to the right of post, fence to the left of building, fence to the left of car, fence to the left of dumpster, bricks to the right of chimney, bricks to the left of window, bricks to the left of pole, bricks to the right of windows, post to the right of hook, post to the right of wall, post to the left of fence, post to the left of chains, post to the left of porch, post to the left of street, post to the left of car, post to the left of cars, post to the left of floor, post to the left of chair, post to the left of building, building to the right of fence, building to the right of post, building to the right of cars, building to the right of chair, building to the right of porch, building to the right of chains, car to the left of dumpster, car to the right of cars, car to the left of pole, car to the right of chair, car to the right of post, car to the right of chains, car to the right of fence, dumpster on street, dumpster to the right of chair, dumpster to the left of pole, dumpster to the right of cars, dumpster to the right of fence, dumpster to the right of chains, dumpster in street, dumpster to the right of car
Text: ","You are answering a visual question using only the structured scene information below.

Structured scene:
Objects: windows, cars, chair, sky, street, hook, pole, chains, porch, trash, waffles, wall, floor, window, chimney, sign, fence, bricks, post, building, car, dumpster
Counts: 
Attributes: cars: white, cars: parked, chair: white, sky: white, wall: brick, wall: red, floor: tiled, sign: neon, fence: tall, bricks: red, building: large, building: red, car: white, dumpster: large
Relations: windows to the left of bricks, windows to the left of window, windows to the left of pole, cars on street, cars to the right of chains, cars to the right of chair, cars to the left of building, cars to the right of post, cars to the left of dumpster, cars to the left of car, chair to the left of car, chair to the left of building, chair to the left of dumpster, chair to the left of chains, chair to the left of cars, chair to the right of post, chair to the right of wall, sky to the right of sign, street to the right of post, hook to the left of porch, hook to the left of post, pole to the right of window, pole to the right of chimney, pole to the right of dumpster, pole to the right of car, pole to the right of bricks, pole to the right of windows, pole to the right of trash, chains to the left of dumpster, chains to the left of car, chains to the right of chair, chains to the left of building, chains to the right of post, chains to the right of wall, chains to the left of cars, porch to the right of post, porch to the left of building, porch to the right of hook, porch to the right of wall, trash to the left of pole, trash to the right of fence, wall to the left of fence, wall to the left of post, wall to the left of chair, wall to the left of porch, wall to the left of chains, floor to the right of post, window to the right of chimney, window to the right of windows, window to the right of bricks, window to the left of pole, chimney to the left of pole, chimney to the left of window, chimney to the left of bricks, sign to the left of sky, fence to the left of trash, fence to the right of wall, fence to the right of post, fence to the left of building, fence to the left of car, fence to the left of dumpster, bricks to the right of chimney, bricks to the left of window, bricks to the left of pole, bricks to the right of windows, post to the right of hook, post to the right of wall, post to the left of fence, post to the left of chains, post to the left of porch, post to the left of street, post to the left of car, post to the left of cars, post to the left of floor, post to the left of chair, post to the left of building, building to the right of fence, building to the right of post, building to the right of cars, building to the right of chair, building to the right of porch, building to the right of chains, car to the left of dumpster, car to the right of cars, car to the left of pole, car to the right of chair, car to the right of post, car to the right of chains, car to the right of fence, dumpster on street, dumpster to the right of chair, dumpster to the left of pole, dumpster to the right of cars, dumpster to the right of fence, dumpster to the right of chains, dumpster in street, dumpster to the right of car
Text: 

Question:
On which side of the picture is the chimney?

Rules:
- Answer using only the structured scene information.
- Give only the final answer.
- Do not explain.
- If the answer is not available, answer unknown.

Final answer:"
19909115,2409655,On which side of the picture is the chimney?,attr,right,keyword_filtered_sst_mistral,Left,left,0,0,132,1180.2016250003362,"Objects: chimney, pole, window, bricks
Counts: 
Attributes: bricks: red
Relations: pole to the right of chimney, window to the right of chimney, chimney to the left of pole, chimney to the left of window, chimney to the left of bricks, bricks to the right of chimney
Text: ","You are answering a visual question using only the structured scene information below.

Structured scene:
Objects: chimney, pole, window, bricks
Counts: 
Attributes: bricks: red
Relations: pole to the right of chimney, window to the right of chimney, chimney to the left of pole, chimney to the left of window, chimney to the left of bricks, bricks to the right of chimney
Text: 

Question:
On which side of the picture is the chimney?

Rules:
- Answer using only the structured scene information.
- Give only the final answer.
- Do not explain.
- If the answer is not available, answer unknown.

Final answer:"
19909115,2409655,On which side of the picture is the chimney?,attr,right,compact_keyword_sst_mistral,Left,left,0,0,90,957.8405829997791,"obj: chimney, pole, window, bricks | attr: bricks: red | rel: pole to the right of chimney, window to the right of chimney, chimney to the left of pole, chimney to the left of window, chimney to the left of bricks, bricks to the right of chimney","Scene: obj: chimney, pole, window, bricks | attr: bricks: red | rel: pole to the right of chimney, window to the right of chimney, chimney to the left of pole, chimney to the left of window, chimney to the left of bricks, bricks to the right of chimney
Q: On which side of the picture is the chimney?
Answer only with the final short answer. If unknown, say unknown.
A:"
19909115,2409655,On which side of the picture is the chimney?,attr,right,objects_only_sst_mistral,The question does not provide any relation or position information about the chimney in the structured scene. Therefore,unknown,0,0,125,2129.91345899718,"Objects: windows, cars, chair, sky, street, hook, pole, chains, porch, trash, waffles, wall, floor, window, chimney, sign, fence, bricks, post, building, car, dumpster
Counts: 
Attributes: 
Relations: 
Text: ","You are answering a visual question using only the structured scene information below.

Structured scene:
Objects: windows, cars, chair, sky, street, hook, pole, chains, porch, trash, waffles, wall, floor, window, chimney, sign, fence, bricks, post, building, car, dumpster
Counts: 
Attributes: 
Relations: 
Text: 

Question:
On which side of the picture is the chimney?

Rules:
- Answer using only the structured scene information.
- Give only the final answer.
- Do not explain.
- If the answer is not available, answer unknown.

Final answer:"
19909115,2409655,On which side of the picture is the chimney?,attr,right,no_relations_sst_mistral,Unknown (The structured scene does not provide information about the side of the picture.),unknown,0,0,180,2039.4763750009588,"Objects: windows, cars, chair, sky, street, hook, pole, chains, porch, trash, waffles, wall, floor, window, chimney, sign, fence, bricks, post, building, car, dumpster
Counts: 
Attributes: cars: white, cars: parked, chair: white, sky: white, wall: brick, wall: red, floor: tiled, sign: neon, fence: tall, bricks: red, building: large, building: red, car: white, dumpster: large
Relations: 
Text: ","You are answering a visual question using only the structured scene information below.

Structured scene:
Objects: windows, cars, chair, sky, street, hook, pole, chains, porch, trash, waffles, wall, floor, window, chimney, sign, fence, bricks, post, building, car, dumpster
Counts: 
Attributes: cars: white, cars: parked, chair: white, sky: white, wall: brick, wall: red, floor: tiled, sign: neon, fence: tall, bricks: red, building: large, building: red, car: white, dumpster: large
Relations: 
Text: 

Question:
On which side of the picture is the chimney?

Rules:
- Answer using only the structured scene information.
- Give only the final answer.
- Do not explain.
- If the answer is not available, answer unknown.

Final answer:"
19909115,2409655,On which side of the picture is the chimney?,attr,right,no_attributes_sst_mistral,Left,left,0,0,794,5435.48012500105,"Objects: windows, cars, chair, sky, street, hook, pole, chains, porch, trash, waffles, wall, floor, window, chimney, sign, fence, bricks, post, building, car, dumpster
Counts: 
Attributes: 
Relations: windows to the left of bricks, windows to the left of window, windows to the left of pole, cars on street, cars to the right of chains, cars to the right of chair, cars to the left of building, cars to the right of post, cars to the left of dumpster, cars to the left of car, chair to the left of car, chair to the left of building, chair to the left of dumpster, chair to the left of chains, chair to the left of cars, chair to the right of post, chair to the right of wall, sky to the right of sign, street to the right of post, hook to the left of porch, hook to the left of post, pole to the right of window, pole to the right of chimney, pole to the right of dumpster, pole to the right of car, pole to the right of bricks, pole to the right of windows, pole to the right of trash, chains to the left of dumpster, chains to the left of car, chains to the right of chair, chains to the left of building, chains to the right of post, chains to the right of wall, chains to the left of cars, porch to the right of post, porch to the left of building, porch to the right of hook, porch to the right of wall, trash to the left of pole, trash to the right of fence, wall to the left of fence, wall to the left of post, wall to the left of chair, wall to the left of porch, wall to the left of chains, floor to the right of post, window to the right of chimney, window to the right of windows, window to the right of bricks, window to the left of pole, chimney to the left of pole, chimney to the left of window, chimney to the left of bricks, sign to the left of sky, fence to the left of trash, fence to the right of wall, fence to the right of post, fence to the left of building, fence to the left of car, fence to the left of dumpster, bricks to the right of chimney, bricks to the left of window, bricks to the left of pole, bricks to the right of windows, post to the right of hook, post to the right of wall, post to the left of fence, post to the left of chains, post to the left of porch, post to the left of street, post to the left of car, post to the left of cars, post to the left of floor, post to the left of chair, post to the left of building, building to the right of fence, building to the right of post, building to the right of cars, building to the right of chair, building to the right of porch, building to the right of chains, car to the left of dumpster, car to the right of cars, car to the left of pole, car to the right of chair, car to the right of post, car to the right of chains, car to the right of fence, dumpster on street, dumpster to the right of chair, dumpster to the left of pole, dumpster to the right of cars, dumpster to the right of fence, dumpster to the right of chains, dumpster in street, dumpster to the right of car
Text: ","You are answering a visual question using only the structured scene information below.

Structured scene:
Objects: windows, cars, chair, sky, street, hook, pole, chains, porch, trash, waffles, wall, floor, window, chimney, sign, fence, bricks, post, building, car, dumpster
Counts: 
Attributes: 
Relations: windows to the left of bricks, windows to the left of window, windows to the left of pole, cars on street, cars to the right of chains, cars to the right of chair, cars to the left of building, cars to the right of post, cars to the left of dumpster, cars to the left of car, chair to the left of car, chair to the left of building, chair to the left of dumpster, chair to the left of chains, chair to the left of cars, chair to the right of post, chair to the right of wall, sky to the right of sign, street to the right of post, hook to the left of porch, hook to the left of post, pole to the right of window, pole to the right of chimney, pole to the right of dumpster, pole to the right of car, pole to the right of bricks, pole to the right of windows, pole to the right of trash, chains to the left of dumpster, chains to the left of car, chains to the right of chair, chains to the left of building, chains to the right of post, chains to the right of wall, chains to the left of cars, porch to the right of post, porch to the left of building, porch to the right of hook, porch to the right of wall, trash to the left of pole, trash to the right of fence, wall to the left of fence, wall to the left of post, wall to the left of chair, wall to the left of porch, wall to the left of chains, floor to the right of post, window to the right of chimney, window to the right of windows, window to the right of bricks, window to the left of pole, chimney to the left of pole, chimney to the left of window, chimney to the left of bricks, sign to the left of sky, fence to the left of trash, fence to the right of wall, fence to the right of post, fence to the left of building, fence to the left of car, fence to the left of dumpster, bricks to the right of chimney, bricks to the left of window, bricks to the left of pole, bricks to the right of windows, post to the right of hook, post to the right of wall, post to the left of fence, post to the left of chains, post to the left of porch, post to the left of street, post to the left of car, post to the left of cars, post to the left of floor, post to the left of chair, post to the left of building, building to the right of fence, building to the right of post, building to the right of cars, building to the right of chair, building to the right of porch, building to the right of chains, car to the left of dumpster, car to the right of cars, car to the left of pole, car to the right of chair, car to the right of post, car to the right of chains, car to the right of fence, dumpster on street, dumpster to the right of chair, dumpster to the left of pole, dumpster to the right of cars, dumpster to the right of fence, dumpster to the right of chains, dumpster in street, dumpster to the right of car
Text: 

Question:
On which side of the picture is the chimney?

Rules:
- Answer using only the structured scene information.
- Give only the final answer.
- Do not explain.
- If the answer is not available, answer unknown.

Final answer:"
19909115,2409655,On which side of the picture is the chimney?,attr,right,caption_style_sst_mistral,Left,left,0,0,848,6474.718458001007,"The scene contains windows, cars, chair, sky, street, hook, pole, chains, porch, trash, waffles, wall, floor, window, chimney, sign, fence, bricks, post, building, car, dumpster. Visible attributes include: cars: white, cars: parked, chair: white, sky: white, wall: brick, wall: red, floor: tiled, sign: neon, fence: tall, bricks: red, building: large, building: red, car: white, dumpster: large. Object relations include: windows to the left of bricks, windows to the left of window, windows to the left of pole, cars on street, cars to the right of chains, cars to the right of chair, cars to the left of building, cars to the right of post, cars to the left of dumpster, cars to the left of car, chair to the left of car, chair to the left of building, chair to the left of dumpster, chair to the left of chains, chair to the left of cars, chair to the right of post, chair to the right of wall, sky to the right of sign, street to the right of post, hook to the left of porch, hook to the left of post, pole to the right of window, pole to the right of chimney, pole to the right of dumpster, pole to the right of car, pole to the right of bricks, pole to the right of windows, pole to the right of trash, chains to the left of dumpster, chains to the left of car, chains to the right of chair, chains to the left of building, chains to the right of post, chains to the right of wall, chains to the left of cars, porch to the right of post, porch to the left of building, porch to the right of hook, porch to the right of wall, trash to the left of pole, trash to the right of fence, wall to the left of fence, wall to the left of post, wall to the left of chair, wall to the left of porch, wall to the left of chains, floor to the right of post, window to the right of chimney, window to the right of windows, window to the right of bricks, window to the left of pole, chimney to the left of pole, chimney to the left of window, chimney to the left of bricks, sign to the left of sky, fence to the left of trash, fence to the right of wall, fence to the right of post, fence to the left of building, fence to the left of car, fence to the left of dumpster, bricks to the right of chimney, bricks to the left of window, bricks to the left of pole, bricks to the right of windows, post to the right of hook, post to the right of wall, post to the left of fence, post to the left of chains, post to the left of porch, post to the left of street, post to the left of car, post to the left of cars, post to the left of floor, post to the left of chair, post to the left of building, building to the right of fence, building to the right of post, building to the right of cars, building to the right of chair, building to the right of porch, building to the right of chains, car to the left of dumpster, car to the right of cars, car to the left of pole, car to the right of chair, car to the right of post, car to the right of chains, car to the right of fence, dumpster on street, dumpster to the right of chair, dumpster to the left of pole, dumpster to the right of cars, dumpster to the right of fence, dumpster to the right of chains, dumpster in street, dumpster to the right of car.","You are answering a visual question using only the structured scene information below.

Structured scene:
The scene contains windows, cars, chair, sky, street, hook, pole, chains, porch, trash, waffles, wall, floor, window, chimney, sign, fence, bricks, post, building, car, dumpster. Visible attributes include: cars: white, cars: parked, chair: white, sky: white, wall: brick, wall: red, floor: tiled, sign: neon, fence: tall, bricks: red, building: large, building: red, car: white, dumpster: large. Object relations include: windows to the left of bricks, windows to the left of window, windows to the left of pole, cars on street, cars to the right of chains, cars to the right of chair, cars to the left of building, cars to the right of post, cars to the left of dumpster, cars to the left of car, chair to the left of car, chair to the left of building, chair to the left of dumpster, chair to the left of chains, chair to the left of cars, chair to the right of post, chair to the right of wall, sky to the right of sign, street to the right of post, hook to the left of porch, hook to the left of post, pole to the right of window, pole to the right of chimney, pole to the right of dumpster, pole to the right of car, pole to the right of bricks, pole to the right of windows, pole to the right of trash, chains to the left of dumpster, chains to the left of car, chains to the right of chair, chains to the left of building, chains to the right of post, chains to the right of wall, chains to the left of cars, porch to the right of post, porch to the left of building, porch to the right of hook, porch to the right of wall, trash to the left of pole, trash to the right of fence, wall to the left of fence, wall to the left of post, wall to the left of chair, wall to the left of porch, wall to the left of chains, floor to the right of post, window to the right of chimney, window to the right of windows, window to the right of bricks, window to the left of pole, chimney to the left of pole, chimney to the left of window, chimney to the left of bricks, sign to the left of sky, fence to the left of trash, fence to the right of wall, fence to the right of post, fence to the left of building, fence to the left of car, fence to the left of dumpster, bricks to the right of chimney, bricks to the left of window, bricks to the left of pole, bricks to the right of windows, post to the right of hook, post to the right of wall, post to the left of fence, post to the left of chains, post to the left of porch, post to the left of street, post to the left of car, post to the left of cars, post to the left of floor, post to the left of chair, post to the left of building, building to the right of fence, building to the right of post, building to the right of cars, building to the right of chair, building to the right of porch, building to the right of chains, car to the left of dumpster, car to the right of cars, car to the left of pole, car to the right of chair, car to the right of post, car to the right of chains, car to the right of fence, dumpster on street, dumpster to the right of chair, dumpster to the left of pole, dumpster to the right of cars, dumpster to the right of fence, dumpster to the right of chains, dumpster in street, dumpster to the right of car.

Question:
On which side of the picture is the chimney?

Rules:
- Answer using only the structured scene information.
- Give only the final answer.
- Do not explain.
- If the answer is not available, answer unknown.

Final answer:"
9245326,2352072,"What material do you think is the boot, rubber or leather?",attr,rubber,full_sst_mistral,rubber,rubber,1,1,487,3951.509208000062,"Objects: hedge, pavement, grass, bench, sky, cap, person, soda can, fence, boot, calf, collar, building, man
Counts: hedge: 3, grass: 2, calf: 2
Attributes: hedge: green, pavement: gray, pavement: brick, pavement: paved, bench: wood, bench: iron, sky: cloudy, cap: pink, cap: knit, person: kneeling, fence: metal, boot: high, boot: rubber, building: large, man: waving
Relations: hedge in front of fence, hedge to the left of cap, hedge to the left of man, hedge to the left of hedge, hedge to the left of collar, hedge to the right of calf, hedge to the right of collar, hedge to the right of man, hedge to the right of hedge, hedge to the right of cap, hedge to the right of person, grass to the right of boot, grass to the right of man, grass to the left of man, grass to the left of boot, bench to the right of fence, hedge to the right of fence, cap to the right of hedge, cap to the left of hedge, person to the right of calf, person to the left of hedge, person behind man, soda can sitting on pavement, soda can to the left of boot, fence behind hedge, fence to the left of bench, fence to the left of hedge, fence to the left of man, boot to the left of grass, boot to the right of grass, boot to the right of soda can, calf to the left of calf, calf to the left of hedge, calf to the left of person, calf to the right of calf, collar to the left of hedge, collar to the right of hedge, man in front of person, man to the right of hedge, man sitting on bench, man wearing boot, man to the right of grass, man to the right of fence, man to the left of hedge, man to the left of grass
Text: ","You are answering a visual question using only the structured scene information below.

Structured scene:
Objects: hedge, pavement, grass, bench, sky, cap, person, soda can, fence, boot, calf, collar, building, man
Counts: hedge: 3, grass: 2, calf: 2
Attributes: hedge: green, pavement: gray, pavement: brick, pavement: paved, bench: wood, bench: iron, sky: cloudy, cap: pink, cap: knit, person: kneeling, fence: metal, boot: high, boot: rubber, building: large, man: waving
Relations: hedge in front of fence, hedge to the left of cap, hedge to the left of man, hedge to the left of hedge, hedge to the left of collar, hedge to the right of calf, hedge to the right of collar, hedge to the right of man, hedge to the right of hedge, hedge to the right of cap, hedge to the right of person, grass to the right of boot, grass to the right of man, grass to the left of man, grass to the left of boot, bench to the right of fence, hedge to the right of fence, cap to the right of hedge, cap to the left of hedge, person to the right of calf, person to the left of hedge, person behind man, soda can sitting on pavement, soda can to the left of boot, fence behind hedge, fence to the left of bench, fence to the left of hedge, fence to the left of man, boot to the left of grass, boot to the right of grass, boot to the right of soda can, calf to the left of calf, calf to the left of hedge, calf to the left of person, calf to the right of calf, collar to the left of hedge, collar to the right of hedge, man in front of person, man to the right of hedge, man sitting on bench, man wearing boot, man to the right of grass, man to the right of fence, man to the left of hedge, man to the left of grass
Text: 

Question:
What material do you think is the boot, rubber or leather?

Rules:
- Answer using only the structured scene information.
- Give only the final answer.
- Do not explain.
- If the answer is not available, answer unknown.

Final answer:"
9245326,2352072,"What material do you think is the boot, rubber or leather?",attr,rubber,keyword_filtered_sst_mistral,Rubber,rubber,1,1,154,1258.615332997579,"Objects: soda can, boot, grass, man
Counts: grass: 2
Attributes: boot: high, boot: rubber, man: waving
Relations: grass to the right of boot, grass to the left of boot, soda can to the left of boot, boot to the left of grass, boot to the right of grass, boot to the right of soda can, man wearing boot
Text: ","You are answering a visual question using only the structured scene information below.

Structured scene:
Objects: soda can, boot, grass, man
Counts: grass: 2
Attributes: boot: high, boot: rubber, man: waving
Relations: grass to the right of boot, grass to the left of boot, soda can to the left of boot, boot to the left of grass, boot to the right of grass, boot to the right of soda can, man wearing boot
Text: 

Question:
What material do you think is the boot, rubber or leather?

Rules:
- Answer using only the structured scene information.
- Give only the final answer.
- Do not explain.
- If the answer is not available, answer unknown.

Final answer:"
9245326,2352072,"What material do you think is the boot, rubber or leather?",attr,rubber,compact_keyword_sst_mistral,Rubber,rubber,1,1,115,1033.5680409989436,"obj: soda can, boot, grass, man | cnt: grass: 2 | attr: boot: high, boot: rubber, man: waving | rel: grass to the right of boot, grass to the left of boot, soda can to the left of boot, boot to the left of grass, boot to the right of grass, boot to the right of soda can, man wearing boot","Scene: obj: soda can, boot, grass, man | cnt: grass: 2 | attr: boot: high, boot: rubber, man: waving | rel: grass to the right of boot, grass to the left of boot, soda can to the left of boot, boot to the left of grass, boot to the right of grass, boot to the right of soda can, man wearing boot
Q: What material do you think is the boot, rubber or leather?
Answer only with the final short answer. If unknown, say unknown.
A:"
