question_id,image_id,question,answer,semantic_type,num_objects,num_counts,num_attributes,num_relations
19909115,2409655,On which side of the picture is the chimney?,right,attr,22,0,14,97
09245326,2352072,"What material do you think is the boot, rubber or leather?",rubber,attr,14,3,15,45
121029493,2388049,Is the camera in the bottom part or in the top of the photo?,top,attr,15,2,11,52
12649138,2392384,Is that bus teal and long?,yes,attr,15,1,12,41
18524347,2352021,On which side of the image is the toilet paper?,right,attr,11,1,9,24
19757827,2385218,Does this plane look white and huge?,no,attr,15,4,10,75
18237157,2382242,Which color is the floor?,brown,attr,6,0,10,5
01575844,2340293,On which side of the photo is the full boat?,right,attr,19,2,6,53
00366809,2381600,Is the color of the boat the same as the sky?,yes,attr,16,2,20,57
02895353,2393484,Is the umbrella that is to the right of the glasses light blue or pink?,pink,attr,14,2,24,49
15471805,2367852,Is the catcher on the left side?,no,attr,17,2,10,50
111037813,2399683,On which side of the photo is the American flag?,left,attr,16,0,17,42
1066276,2334664,Is that a blue airplane?,yes,attr,9,1,7,2
04174158,2411136,On which side of the photo is the little doll?,left,attr,20,2,24,68
0598443,2362150,On which side of the photo is the picture?,left,attr,12,3,5,57
08435271,2336923,"Where in the photo is the cat, in the top or in the bottom?",bottom,attr,11,1,5,27
03365348,2400422,Does the blue sky look full and clear?,no,attr,7,0,5,1
07470215,2385432,On which side of the picture is the gas stove?,left,attr,18,1,17,62
14803739,2318376,Is the shirt short sleeved or long sleeved?,short sleeved,attr,18,0,21,47
08114762,2344540,Does the clock look white and large?,no,attr,9,1,8,23
16985776,2409579,Is the truck on the right?,yes,attr,16,2,9,31
1882998,370,Do the fan and the box have a different colors?,no,attr,16,0,13,77
14974957,2338671,Which side of the image is the house on?,left,attr,20,3,6,57
17400921,2374816,Which color are the trousers?,tan,attr,8,1,5,4
00372905,2346104,Does the lamp on the ceiling look colorful?,yes,attr,13,2,17,39
15834069,2319140,Are the flags on the left side?,no,attr,17,4,11,80
00155957,2370134,Are the vase and the pitcher made of the same material?,yes,attr,24,5,15,143
12900698,2340446,Which part of the photo is the zebra in?,left,attr,17,2,7,62
12975037,2404130,On which side of the photo is the salad?,right,attr,19,4,17,97
18934678,2410613,Is the man in the bottom part of the picture?,yes,attr,15,8,9,78
15974537,2398351,Do the tennis racket and the shirt have a different colors?,yes,attr,7,0,10,15
12962486,2407481,Which side is the chair on?,right,attr,19,1,15,97
13514980,2397982,Does the cow in front of the path look young and black and white?,yes,attr,6,0,9,8
06898979,2396386,Does the helmet appear to be green or white?,green,attr,17,0,12,51
02454662,2388904,On which side are the glasses?,left,attr,19,0,0,63
1928925,2365742,Does the end table that is to the right of the CDs have brown color?,no,attr,18,1,15,41
01476398,2377465,Does the bird look brown?,no,attr,5,0,6,2
15198505,2390473,Is the fresh fruit in the top part of the picture?,no,attr,17,1,4,28
10519313,2389362,Of which color is that hair?,gray,attr,10,3,9,16
03534125,2355364,Is the vase on the right side or on the left?,right,attr,17,1,12,55
12636417,2391612,What animal is striped?,zebra,cat,11,1,10,18
04782038,2351458,What kind of animal is white?,horse,cat,8,0,5,19
07382782,2342945,Which kind of furniture is wooden?,bed,cat,17,3,15,88
17311753,2379947,What is the name of the grouped animals?,cows,cat,4,2,11,7
16150043,2416156,Which kind of clothing is gray?,pants,cat,13,4,7,88
03154066,2401788,What item of furniture is it?,couch,cat,5,0,4,6
02451905,2386586,"What is this, a laptop or a television?",television,cat,20,1,12,103
03843857,2317649,What animal is brown?,bull,cat,15,0,10,45
101004463,2359779,Which kind of food is melted?,mozzarella,cat,8,4,6,31
13355488,2327958,What is the name of the white piece of furniture?,table,cat,6,0,1,6
16840440,2320252,What is this food called?,pastry,cat,15,5,5,47
00356120,2319473,Which kind of clothing is black?,dress,cat,15,3,4,64
11414707,2415503,What kind of vehicle is green?,bus,cat,9,0,11,12
16364606,2411503,Is this a couch or a desk?,desk,cat,15,3,8,35
15521975,2413497,"Which type of fast food is this, a pizza or a hamburger?",pizza,cat,4,2,3,14
061022776,2351890,What appliance is not black?,refrigerator,cat,15,5,11,51
01449929,2415791,Which kind of furniture is it?,tv stand,cat,12,0,7,34
06946206,2409304,What is the white animal in the image?,dog,cat,5,0,9,0
18167173,2375415,Which kind of food isn't green?,lettuce,cat,21,6,16,102
12661225,2340480,Who is dressed in white?,lady,cat,14,0,13,23
02550803,2372158,Who is walking?,man,cat,9,0,10,21
01350697,2401489,"What animal is this, a kitten or a puppy?",kitten,cat,8,3,11,17
03633084,2316480,What device is in this photo?,remote control,cat,7,1,6,8
08714787,2321131,"Which animal is this, a cow or a sheep?",sheep,cat,9,4,5,21
12951625,2385163,What the white piece of clothing is called?,shirt,cat,18,5,9,97
011016855,2330777,What pieces of clothing are faded?,jeans,cat,7,1,13,14
02269850,2413324,Which kind of appliance is it?,oven,cat,20,3,17,62
05899703,2386338,"Which type of furniture is brown, the desk or the drawer?",desk,cat,16,1,20,38
06606473,2406460,What items of furniture are large?,shelves,cat,17,4,13,139
17819032,2382016,Which kind of clothing is gray?,trunks,cat,11,0,9,2
00784745,2396731,Who is walking?,boy,cat,13,4,13,50
02223861,2377961,"Which type of clothing is white, the hat or the dress?",hat,cat,9,0,8,17
19476128,713908,Is this a desk or a cabinet?,cabinet,cat,13,2,10,33
09355790,2370103,What type of animal is lying?,cows,cat,11,3,10,19
1511913,2350197,What vegetable is large?,onion,cat,6,1,3,8
06648615,2334774,What clothing item is colorful?,uniform,cat,12,0,8,14
0312133,2383731,Is this a zebra or a horse?,horse,cat,17,1,11,43
00822656,2325687,What vegetable is seasoned?,broccoli,cat,5,2,3,10
051047147,2330211,Is this a mirror or a couch?,couch,cat,10,0,6,11
19932564,2411490,Which kind of animal is brown?,giraffe,cat,8,2,9,24
15444134,2344870,"Which place could this be, a beach or a field?",field,global,16,3,7,14
18835781,2370296,Which place is it?,pavement,global,15,0,2,11
11114247,2368181,Is it outdoors?,yes,global,9,1,6,6
17297200,2398522,Which place is it?,garden,global,9,0,4,13
0479613,2401325,What place was the picture taken at?,road,global,13,4,16,41
04792303,2326327,Which place is it?,park,global,19,7,12,76
091020552,2366277,Which place could this be?,ocean,global,9,3,4,5
10444881,2367303,What is the photo showing?,ocean,global,5,0,4,0
18951747,2363548,Which place is it?,skate park,global,16,3,1,44
02106428,1592132,Is it an outdoors scene?,yes,global,12,3,8,29
09245184,2352072,Where is it?,pavement,global,14,3,15,45
00431205,2348998,Is it an indoors scene?,no,global,8,0,10,8
12793978,2326672,Is it an indoors scene?,no,global,22,4,1,81
17663022,2387312,How's the weather?,partly cloudy,global,13,2,14,14
10458589,2324712,What is the photo showing?,street,global,10,2,8,15
18587273,2356440,How is the weather?,cloudy,global,12,2,12,16
02913246,2357474,What place does this represent?,highway,global,14,3,5,38
1931712,2325501,What place is pictured?,yard,global,8,0,1,14
09807673,2400971,Which place is it?,field,global,11,0,11,13
15188092,2391816,Is it an indoors scene?,yes,global,6,0,14,7
13839933,1242,Which place is it?,shore,global,12,3,12,41
08591928,2410304,How's the weather?,sunny,global,7,0,10,6
19443072,2378689,Which place is it?,field,global,16,2,20,51
19807881,2328848,Is it an indoors or outdoors picture?,indoors,global,17,4,13,43
13396255,2351928,Is it a garage or a parking lot?,parking lot,global,11,4,5,36
12160189,2323895,What place is shown?,railroad,global,12,2,3,55
09105761,2396882,Which place is this?,ocean,global,12,2,12,5
14864416,2371139,Which place is it?,path,global,19,4,9,93
09550081,2360257,Which place is it?,restaurant,global,17,5,7,67
19468179,2409283,Is this a photo of a park or a farm?,park,global,9,0,13,17
05748898,2371801,Which place is it?,parking lot,global,13,3,6,38
13831814,2355250,Could the place be the garden or maybe the zoo?,zoo,global,13,4,12,65
011002638,2322880,Which venue is this?,lake,global,15,6,6,114
10655501,2355577,What is the image showing?,yard,global,13,4,7,43
10438831,1031,How is the weather?,cloudy,global,5,0,5,0
11928335,2415921,Which place is it?,sidewalk,global,14,3,12,41
08390112,2398518,Is it indoors?,no,global,13,1,14,46
14768725,2396253,How is the weather?,overcast,global,12,0,15,42
03618416,2411522,Is it outdoors?,no,global,17,1,13,61
1755849,2366734,Which place is it?,backyard,global,14,1,6,11
17470071,2346709,Are there any fences or cars in this picture?,yes,obj,11,5,10,36
00261167,2317575,Do you see any empty buses?,yes,obj,18,6,9,112
10760994,2348733,Is there either a white skateboard or scooter?,no,obj,13,0,9,21
0138018,2362495,Do you see any bears?,no,obj,16,6,7,43
10116814,2377541,Are there dogs or fences?,yes,obj,6,0,4,10
03267037,2353078,Are there utensils or cups?,no,obj,15,6,17,85
10421482,2363244,Are there both laptops and pictures in this image?,no,obj,16,3,5,53
04695355,2366034,Are there any white flags or pillows?,yes,obj,13,1,6,39
04212267,2356402,Are there both food and wine in the scene?,yes,obj,18,6,4,113
05787273,2376612,Are there both sandwiches and hot dogs in this image?,no,obj,9,1,8,10
07575039,2359185,Do you see cups or knives there?,yes,obj,14,6,14,86
17444247,2371945,Is there a chair or a refrigerator in this image?,yes,obj,18,0,13,60
18394861,2351386,Are there any folding chairs or skateboards?,no,obj,15,1,5,48
16885519,2316535,Are there either any glasses or women in this photograph?,yes,obj,18,6,7,85
17496006,2343543,Are there both boxes and donuts in the scene?,no,obj,4,0,0,2
19284405,2341763,Are there chairs in the picture?,yes,obj,22,6,9,125
0972556,2412806,Do you see any tan sand or grass?,yes,obj,15,7,12,20
11675080,2374021,Do you see both a television and a laptop?,yes,obj,15,1,6,45
0526351,2345161,Are there any carts or clocks?,yes,obj,7,1,2,17
00935915,2362947,Are there any blinds or blankets in the picture?,yes,obj,11,0,6,17
15198395,2390473,Are there either any cabinets or chairs?,no,obj,17,1,4,28
12334818,2320242,Do you see either any cabinets or dining tables?,yes,obj,22,8,5,225
18699301,2325830,Are there fences or trays in the picture?,no,obj,17,1,9,42
13629474,2324176,Are there both letters and buses in this image?,yes,obj,17,5,11,45
13491195,2342794,Are there both stoves and towels in the photograph?,no,obj,15,4,7,67
04204982,2327387,Do you see a donut or a hamburger in the photo?,yes,obj,12,2,11,28
14375486,2389990,Are there beds or cabinets in the photo?,yes,obj,16,1,25,40
1536619,2362724,Do you see any blankets?,no,obj,12,0,15,19
09987600,2354842,Do you see a white pillow or towel?,no,obj,8,0,6,6
0214123,2397589,Is there either a small camera or phone?,no,obj,15,0,9,40
06457766,2358919,Do you see buses in this photo?,yes,obj,14,4,14,45
13226379,2367978,Is there either any brown rice or soup?,no,obj,15,0,16,43
0220622,2343311,Are there both mirrors and buses?,no,obj,9,2,6,17
14243788,2383054,Are there any umbrellas or tennis balls in this picture?,no,obj,12,1,11,17
06914095,2320767,Are there either silver objects or helmets?,yes,obj,11,4,5,50
14304922,2387037,Are there either hot dogs or napkins in the picture?,yes,obj,17,0,6,34
121053004,2361696,Do you see a train or a door in the photo?,yes,obj,7,0,3,2
10651452,2320520,Are there both a wine glass and a bottle in the picture?,no,obj,5,2,0,12
15569504,2369303,Are there either any black windows or doors?,no,obj,14,1,21,32
18986518,2375683,Do you see a brown toast or donut there?,yes,obj,19,4,5,58
04778734,2398973,What is the person in front of?,snow,rel,10,2,9,19
10890097,2378087,Are there any plates to the left of the cheese pizza?,no,rel,18,3,9,71
121021964,2329558,What is in the sky?,clouds,rel,11,1,7,17
0111220,347,Is the television sitting on a cabinet?,yes,rel,9,2,4,25
01744525,2408563,Is the wine bottle to the left or to the right of the woman that is sitting-down?,right,rel,13,0,11,35
02539711,2403960,What piece of furniture has the same color as the appliance that is to the right of the cups?,office chair,rel,18,2,19,78
16955113,2398774,What is the man in front of?,bench,rel,7,0,5,17
08165000,2356740,Which kind of vegetable is on the salad?,peppers,rel,14,0,7,47
1997063,2355723,What vehicle is to the right of the umbrella?,car,rel,16,3,9,42
05382846,2350094,What type of furniture is to the left of the angry bird that looks angry?,chairs,rel,17,3,17,42
1272518,2334521,Which kind of vegetable is to the left of the tray?,potato,rel,12,2,6,42
00300221,2393334,"What type of animal do the people that to the right of the tourists ride, elephants or giraffes?",elephants,rel,12,0,11,23
10227155,2413023,Which kind of vehicle is to the left of the bus?,car,rel,14,6,17,68
19397337,2361493,Which kind of furniture is to the right of the orange?,shelf,rel,12,2,12,54
08771655,2353910,What is on the wall?,menu,rel,22,5,7,80
1571865,2407387,Who is wearing the backpack?,man,rel,9,3,11,64
04780712,2389455,What appliance is on top of the counter?,blender,rel,14,1,17,42
01806729,2395398,Which kind of food is the bun filled with?,meat,rel,11,3,9,14
09654060,2368981,Who is wearing the dress?,people,rel,22,6,27,130
19730368,2383197,Is the white plate on the plastic tray?,yes,rel,15,1,16,56
071028949,2347899,What is the roof covering?,bedroom,rel,11,0,3,21
09633198,2379482,What animal is drinking from the white toilet?,cat,rel,7,0,5,3
05273845,1159761,What is the person to the left of the trash bin wearing?,sandal,rel,6,2,8,6
13487147,2393352,What is the boy holding?,trumpet,rel,18,2,4,60
03614157,2363225,Does the person in front of the window sit in a chair?,yes,rel,9,1,4,17
1250255,2349434,Who is wearing the jacket?,man,rel,16,1,8,36
19225529,2342134,What appliance is to the right of the open drawer?,refrigerator,rel,22,4,11,151
13657792,2415932,The man is standing where?,ocean,rel,8,1,3,6
0347863,2376548,Is there a donut on the plate?,no,rel,4,3,2,21
00248236,2399658,What is the item of furniture to the left of the fence that is made of wood?,table,rel,16,1,15,46
12739726,4063,What is the piece of furniture to the right of the bench that is in front of the bookshelf?,desk,rel,15,5,2,66
04422234,2333425,What is on the sticker that is on the pole?,graffiti,rel,12,1,6,24
00477822,2407846,What is the person on the field holding?,frisbee,rel,9,0,9,21
11319142,2316465,What is under the flowers?,table,rel,18,2,9,60
07393401,2350772,Do you see any woman to the right of the man on the left side?,yes,rel,26,7,5,240
16144830,2378976,What is under the paper paper?,table,rel,8,3,8,22
04932393,2341884,What is on the table?,utensil,rel,7,1,4,7
14778501,1339,What kind of food is on the plate?,rice,rel,8,1,4,31
06356087,2352718,Who is wearing a watch?,guy,rel,16,2,4,37
16470401,2353864,Who is waiting for the bus which is parked on the road?,passenger,rel,15,7,6,74
