index,image_id,question,ground_truth,prediction,latency_sec,sample_index
0,2409655,On which side of the picture is the chimney?,right,Right,4.634887218475342,0
1,2352072,"What material do you think is the boot, rubber or leather?",rubber,Rubber,4.5520546436309814,1
2,2388049,Is the camera in the bottom part or in the top of the photo?,top,Bottom,4.459397077560425,2
3,2392384,Is that bus teal and long?,yes,Yes,4.429357051849365,3
4,2352021,On which side of the image is the toilet paper?,right,Left,4.39864706993103,4
5,2385218,Does this plane look white and huge?,no,Yes,4.388649940490723,5
6,2382242,Which color is the floor?,brown,White,4.408210039138794,6
7,2340293,On which side of the photo is the full boat?,right,Left,4.406508922576904,7
8,2381600,Is the color of the boat the same as the sky?,yes,Yes,4.417227029800415,8
9,2393484,Is the umbrella that is to the right of the glasses light blue or pink?,pink,Pink,4.408912181854248,9
10,2367852,Is the catcher on the left side?,no,Yes,4.394546031951904,10
11,2399683,On which side of the photo is the American flag?,left,Left,4.401743173599243,11
12,2334664,Is that a blue airplane?,yes,Yes,4.405604839324951,12
13,2411136,On which side of the photo is the little doll?,left,Right,4.414566993713379,13
14,2362150,On which side of the photo is the picture?,left,Right,4.402101993560791,14
15,2336923,"Where in the photo is the cat, in the top or in the bottom?",bottom,Bottom,4.446904182434082,15
16,2400422,Does the blue sky look full and clear?,no,Yes,4.430945873260498,16
17,2385432,On which side of the picture is the gas stove?,left,Right,4.418537378311157,17
18,2318376,Is the shirt short sleeved or long sleeved?,short sleeved,Short sleeve,4.402947187423706,18
19,2344540,Does the clock look white and large?,no,Yes,4.391790866851807,19
20,2409579,Is the truck on the right?,yes,No,4.43758225440979,20
21,370,Do the fan and the box have a different colors?,no,No,4.406001091003418,21
22,2338671,Which side of the image is the house on?,left,Right,4.479202032089233,22
23,2374816,Which color are the trousers?,tan,Brown,4.542184114456177,23
24,2346104,Does the lamp on the ceiling look colorful?,yes,No,4.45783805847168,24
25,2319140,Are the flags on the left side?,no,No,4.6771039962768555,25
26,2370134,Are the vase and the pitcher made of the same material?,yes,No,4.679101943969727,26
27,2340446,Which part of the photo is the zebra in?,left,Right,4.511035919189453,27
28,2404130,On which side of the photo is the salad?,right,Right,4.455164194107056,28
29,2410613,Is the man in the bottom part of the picture?,yes,Yes,4.416650056838989,29
