relative_path,file_name,size_bytes,size,category,reason,suffix
data/gqa_raw/questions/val_all_questions.json,val_all_questions.json,1735745976,1.62 GB,REVIEW,Raw data file,.json
data/gqa_raw/questions.zip,questions.zip,1498616372,1.40 GB,ARCHIVE_OR_DELETE_CANDIDATE,Raw zip; delete only if extracted files exist,.zip
data/gqa_raw/questions/train_all_questions/train_all_questions_0.json,train_all_questions_0.json,1236128669,1.15 GB,REVIEW,Raw data file,.json
data/gqa_raw/questions/train_all_questions/train_all_questions_8.json,train_all_questions_8.json,1236032518,1.15 GB,REVIEW,Raw data file,.json
data/gqa_raw/questions/train_all_questions/train_all_questions_9.json,train_all_questions_9.json,1235981804,1.15 GB,REVIEW,Raw data file,.json
data/gqa_raw/questions/train_all_questions/train_all_questions_2.json,train_all_questions_2.json,1235890885,1.15 GB,REVIEW,Raw data file,.json
data/gqa_raw/questions/train_all_questions/train_all_questions_4.json,train_all_questions_4.json,1235772941,1.15 GB,REVIEW,Raw data file,.json
data/gqa_raw/questions/train_all_questions/train_all_questions_1.json,train_all_questions_1.json,1235712327,1.15 GB,REVIEW,Raw data file,.json
data/gqa_raw/questions/train_all_questions/train_all_questions_7.json,train_all_questions_7.json,1235539281,1.15 GB,REVIEW,Raw data file,.json
data/gqa_raw/questions/train_all_questions/train_all_questions_3.json,train_all_questions_3.json,1235521715,1.15 GB,REVIEW,Raw data file,.json
data/gqa_raw/questions/train_all_questions/train_all_questions_5.json,train_all_questions_5.json,1235477906,1.15 GB,REVIEW,Raw data file,.json
data/gqa_raw/questions/train_all_questions/train_all_questions_6.json,train_all_questions_6.json,1235068698,1.15 GB,REVIEW,Raw data file,.json
data/gqa_raw/questions/train_balanced_questions.json,train_balanced_questions.json,812984653,775.32 MB,REVIEW,Raw data file,.json
data/gqa_raw/questions/submission_all_questions.json,submission_all_questions.json,492981231,470.14 MB,REVIEW,Raw data file,.json
data/gqa_raw/train_sceneGraphs.json,train_sceneGraphs.json,317399800,302.70 MB,KEEP_LOCAL_NOT_GIT,Large raw GQA reproducibility file,.json
data/gqa_raw/questions/test_all_questions.json,test_all_questions.json,156968340,149.70 MB,REVIEW,Raw data file,.json
data/gqa_raw/questions/testdev_all_questions.json,testdev_all_questions.json,153446657,146.34 MB,REVIEW,Raw data file,.json
data/gqa_raw/questions/val_balanced_questions.json,val_balanced_questions.json,113884131,108.61 MB,KEEP_LOCAL_NOT_GIT,Large raw GQA reproducibility file,.json
data/gqa_raw/questions/challenge_all_questions.json,challenge_all_questions.json,83476451,79.61 MB,REVIEW,Raw data file,.json
data/gqa_raw/val_sceneGraphs.json,val_sceneGraphs.json,44830665,42.75 MB,KEEP_LOCAL_NOT_GIT,Large raw GQA reproducibility file,.json
data/gqa_raw/sceneGraphs.zip,sceneGraphs.zip,44824862,42.75 MB,ARCHIVE_OR_DELETE_CANDIDATE,Raw zip; delete only if extracted files exist,.zip
data/gqa_raw/questions/test_balanced_questions.json,test_balanced_questions.json,10900978,10.40 MB,REVIEW,Raw data file,.json
data/gqa_raw/questions/testdev_balanced_questions.json,testdev_balanced_questions.json,10848046,10.35 MB,REVIEW,Raw data file,.json
data/gqa_raw/questions/challenge_balanced_questions.json,challenge_balanced_questions.json,5800302,5.53 MB,REVIEW,Raw data file,.json
outputs/results/real_gqa_200_publish_methods_checkpoint.csv,real_gqa_200_publish_methods_checkpoint.csv,3029453,2.89 MB,REVIEW,Output file not recognized as final,.csv
outputs/results/real_gqa_200_publish_methods_detailed.csv,real_gqa_200_publish_methods_detailed.csv,3028632,2.89 MB,MUST_KEEP,Final result/report file,.csv
notebooks/final_experiments_clean.ipynb,final_experiments_clean.ipynb,762138,744.28 KB,KEEP,Notebook,.ipynb
data/processed/real_gqa_sst_200_balanced.json,real_gqa_sst_200_balanced.json,616103,601.66 KB,MUST_KEEP,Final result/report file,.json
data/gqa_images_subset_200/1159761.jpg,1159761.jpg,603205,589.07 KB,KEEP_LOCAL_NOT_GIT,Image subset for LLaVA rerun,.jpg
src/pipelines/sst_multimodal_pipeline.png,sst_multimodal_pipeline.png,484639,473.28 KB,KEEP,Source code,.png
notebooks/cse427_sst_final_code_submission.ipynb,cse427_sst_final_code_submission.ipynb,433325,423.17 KB,KEEP,Notebook,.ipynb
outputs/results/real_gqa_mistral_50_combined_with_compact_keyword.csv,real_gqa_mistral_50_combined_with_compact_keyword.csv,400545,391.16 KB,REVIEW,Output file not recognized as final,.csv
data/gqa_images_subset_200/713908.jpg,713908.jpg,390975,381.81 KB,KEEP_LOCAL_NOT_GIT,Image subset for LLaVA rerun,.jpg
data/gqa_images_subset_200/1592132.jpg,1592132.jpg,371922,363.21 KB,KEEP_LOCAL_NOT_GIT,Image subset for LLaVA rerun,.jpg
outputs/results/real_gqa_mistral_50_combined_with_keyword_filter.csv,real_gqa_mistral_50_combined_with_keyword_filter.csv,338391,330.46 KB,REVIEW,Output file not recognized as final,.csv
outputs/results/real_gqa_200_pilot20_publish_methods_detailed.csv,real_gqa_200_pilot20_publish_methods_detailed.csv,302510,295.42 KB,OPTIONAL_ARCHIVE,Old toy/pilot/intermediate output,.csv
data/gqa_images_subset_200/2398522.jpg,2398522.jpg,282949,276.32 KB,KEEP_LOCAL_NOT_GIT,Image subset for LLaVA rerun,.jpg
outputs/results/real_gqa_mistral_50_detailed_results.csv,real_gqa_mistral_50_detailed_results.csv,279372,272.82 KB,REVIEW,Output file not recognized as final,.csv
outputs/results/real_gqa_mistral_50_detailed_v2.csv,real_gqa_mistral_50_detailed_v2.csv,263789,257.61 KB,REVIEW,Output file not recognized as final,.csv
data/gqa_images_subset_200/2379947.jpg,2379947.jpg,230528,225.12 KB,KEEP_LOCAL_NOT_GIT,Image subset for LLaVA rerun,.jpg
data/gqa_images_subset_200/2366734.jpg,2366734.jpg,222310,217.10 KB,KEEP_LOCAL_NOT_GIT,Image subset for LLaVA rerun,.jpg
outputs/figures/final_exact_accuracy_comparison.png,final_exact_accuracy_comparison.png,221788,216.59 KB,KEEP,Generated figure/report asset,.png
outputs/figures/final_latency_comparison.png,final_latency_comparison.png,220622,215.45 KB,KEEP,Generated figure/report asset,.png
data/gqa_images_subset_200/2353864.jpg,2353864.jpg,209404,204.50 KB,KEEP_LOCAL_NOT_GIT,Image subset for LLaVA rerun,.jpg
outputs/figures/sst_token_reduction.png,sst_token_reduction.png,209130,204.23 KB,KEEP,Generated figure/report asset,.png
data/gqa_images_subset_200/2359779.jpg,2359779.jpg,206966,202.12 KB,KEEP_LOCAL_NOT_GIT,Image subset for LLaVA rerun,.jpg
data/gqa_images_subset_200/2413497.jpg,2413497.jpg,206814,201.97 KB,KEEP_LOCAL_NOT_GIT,Image subset for LLaVA rerun,.jpg
data/gqa_images_subset_200/2318376.jpg,2318376.jpg,205781,200.96 KB,KEEP_LOCAL_NOT_GIT,Image subset for LLaVA rerun,.jpg
data/gqa_images_subset_200/2411490.jpg,2411490.jpg,203352,198.59 KB,KEEP_LOCAL_NOT_GIT,Image subset for LLaVA rerun,.jpg
data/gqa_images_subset_200/2393352.jpg,2393352.jpg,203035,198.28 KB,KEEP_LOCAL_NOT_GIT,Image subset for LLaVA rerun,.jpg
data/gqa_images_subset_200/2393334.jpg,2393334.jpg,200833,196.13 KB,KEEP_LOCAL_NOT_GIT,Image subset for LLaVA rerun,.jpg
data/gqa_images_subset_200/2410304.jpg,2410304.jpg,198817,194.16 KB,KEEP_LOCAL_NOT_GIT,Image subset for LLaVA rerun,.jpg
data/gqa_images_subset_200/2401489.jpg,2401489.jpg,197440,192.81 KB,KEEP_LOCAL_NOT_GIT,Image subset for LLaVA rerun,.jpg
data/gqa_images_subset_200/2320252.jpg,2320252.jpg,192301,187.79 KB,KEEP_LOCAL_NOT_GIT,Image subset for LLaVA rerun,.jpg
data/gqa_images_subset_200/2362495.jpg,2362495.jpg,190199,185.74 KB,KEEP_LOCAL_NOT_GIT,Image subset for LLaVA rerun,.jpg
data/gqa_images_subset_200/2398774.jpg,2398774.jpg,189969,185.52 KB,KEEP_LOCAL_NOT_GIT,Image subset for LLaVA rerun,.jpg
data/gqa_images_subset_200/2401325.jpg,2401325.jpg,187548,183.15 KB,KEEP_LOCAL_NOT_GIT,Image subset for LLaVA rerun,.jpg
data/gqa_images_subset_200/2375683.jpg,2375683.jpg,184701,180.37 KB,KEEP_LOCAL_NOT_GIT,Image subset for LLaVA rerun,.jpg
data/gqa_images_subset_200/2330211.jpg,2330211.jpg,183167,178.87 KB,KEEP_LOCAL_NOT_GIT,Image subset for LLaVA rerun,.jpg
data/gqa_images_subset_200/2341884.jpg,2341884.jpg,180946,176.71 KB,KEEP_LOCAL_NOT_GIT,Image subset for LLaVA rerun,.jpg
data/gqa_images_subset_200/2396386.jpg,2396386.jpg,180048,175.83 KB,KEEP_LOCAL_NOT_GIT,Image subset for LLaVA rerun,.jpg
data/gqa_images_subset_200/2378087.jpg,2378087.jpg,179918,175.70 KB,KEEP_LOCAL_NOT_GIT,Image subset for LLaVA rerun,.jpg
data/gqa_images_subset_200/2370103.jpg,2370103.jpg,178666,174.48 KB,KEEP_LOCAL_NOT_GIT,Image subset for LLaVA rerun,.jpg
data/gqa_images_subset_200/2399683.jpg,2399683.jpg,178585,174.40 KB,KEEP_LOCAL_NOT_GIT,Image subset for LLaVA rerun,.jpg
