question_id,question,true_answer,semantic_type,sst_type,prediction,prediction_norm,exact_correct,lenient_correct,latency_ms,n_objects,n_relations,n_tokens
19909115,On which side of the picture is the chimney?,right,attr,oracle,,,0,0,,15,25,337
19909115,On which side of the picture is the chimney?,right,attr,detected,,,0,0,,2,1,93
9245326,"What material do you think is the boot, rubber or leather?",rubber,attr,oracle,,,0,0,,14,25,352
9245326,"What material do you think is the boot, rubber or leather?",rubber,attr,detected,,,0,0,,2,2,98
121029493,Is the camera in the bottom part or in the top of the photo?,top,attr,oracle,,,0,0,,15,25,336
121029493,Is the camera in the bottom part or in the top of the photo?,top,attr,detected,,,0,0,,3,3,107
12649138,Is that bus teal and long?,yes,attr,oracle,,,0,0,,15,25,322
12649138,Is that bus teal and long?,yes,attr,detected,,,0,0,,4,5,112
18524347,On which side of the image is the toilet paper?,right,attr,oracle,,,0,0,,11,24,302
18524347,On which side of the image is the toilet paper?,right,attr,detected,,,0,0,,2,3,106
19757827,Does this plane look white and huge?,no,attr,oracle,,,0,0,,15,25,332
19757827,Does this plane look white and huge?,no,attr,detected,,,0,0,,4,15,160
18237157,Which color is the floor?,brown,attr,oracle,,,0,0,,6,5,153
18237157,Which color is the floor?,brown,attr,detected,,,0,0,,1,0,78
1575844,On which side of the photo is the full boat?,right,attr,oracle,,,0,0,,15,25,314
1575844,On which side of the photo is the full boat?,right,attr,detected,,,0,0,,3,6,118
366809,Is the color of the boat the same as the sky?,yes,attr,oracle,,,0,0,,15,25,351
366809,Is the color of the boat the same as the sky?,yes,attr,detected,,,0,0,,1,0,84
2895353,Is the umbrella that is to the right of the glasses light blue or pink?,pink,attr,oracle,,,0,0,,14,25,378
2895353,Is the umbrella that is to the right of the glasses light blue or pink?,pink,attr,detected,,,0,0,,3,20,213
15471805,Is the catcher on the left side?,no,attr,oracle,,,0,0,,15,25,347
15471805,Is the catcher on the left side?,no,attr,detected,,,0,0,,3,10,153
111037813,On which side of the photo is the American flag?,left,attr,oracle,,,0,0,,15,25,373
111037813,On which side of the photo is the American flag?,left,attr,detected,,,0,0,,2,2,102
1066276,Is that a blue airplane?,yes,attr,oracle,,,0,0,,9,2,132
1066276,Is that a blue airplane?,yes,attr,detected,,,0,0,,2,1,84
4174158,On which side of the photo is the little doll?,left,attr,oracle,,,0,0,,15,25,363
4174158,On which side of the photo is the little doll?,left,attr,detected,,,0,0,,4,6,127
598443,On which side of the photo is the picture?,left,attr,oracle,,,0,0,,12,25,311
598443,On which side of the photo is the picture?,left,attr,detected,,,0,0,,2,1,88
8435271,"Where in the photo is the cat, in the top or in the bottom?",bottom,attr,oracle,,,0,0,,11,25,295
8435271,"Where in the photo is the cat, in the top or in the bottom?",bottom,attr,detected,,,0,0,,1,0,88
3365348,Does the blue sky look full and clear?,no,attr,oracle,,,0,0,,7,1,115
3365348,Does the blue sky look full and clear?,no,attr,detected,,,0,0,,1,0,81
7470215,On which side of the picture is the gas stove?,left,attr,oracle,,,0,0,,15,25,367
7470215,On which side of the picture is the gas stove?,left,attr,detected,,,0,0,,2,3,103
14803739,Is the shirt short sleeved or long sleeved?,short sleeved,attr,oracle,,,0,0,,15,25,377
14803739,Is the shirt short sleeved or long sleeved?,short sleeved,attr,detected,,,0,0,,3,3,107
8114762,Does the clock look white and large?,no,attr,oracle,,,0,0,,9,23,282
8114762,Does the clock look white and large?,no,attr,detected,,,0,0,,1,2,95
16985776,Is the truck on the right?,yes,attr,oracle,,,0,0,,15,25,318
16985776,Is the truck on the right?,yes,attr,detected,,,0,0,,4,14,157
1882998,Do the fan and the box have a different colors?,no,attr,oracle,,,0,0,,15,25,345
1882998,Do the fan and the box have a different colors?,no,attr,detected,,,0,0,,7,20,218
14974957,Which side of the image is the house on?,left,attr,oracle,,,0,0,,15,25,341
14974957,Which side of the image is the house on?,left,attr,detected,,,0,0,,3,9,132
17400921,Which color are the trousers?,tan,attr,oracle,,,0,0,,8,4,145
17400921,Which color are the trousers?,tan,attr,detected,,,0,0,,1,0,78
372905,Does the lamp on the ceiling look colorful?,yes,attr,oracle,,,0,0,,13,25,357
372905,Does the lamp on the ceiling look colorful?,yes,attr,detected,,,0,0,,2,3,100
15834069,Are the flags on the left side?,no,attr,oracle,,,0,0,,15,25,340
15834069,Are the flags on the left side?,no,attr,detected,,,0,0,,1,0,80
155957,Are the vase and the pitcher made of the same material?,yes,attr,oracle,,,0,0,,15,25,375
155957,Are the vase and the pitcher made of the same material?,yes,attr,detected,,,0,0,,3,4,111
12900698,Which part of the photo is the zebra in?,left,attr,oracle,,,0,0,,15,25,323
12900698,Which part of the photo is the zebra in?,left,attr,detected,,,0,0,,6,15,179
12975037,On which side of the photo is the salad?,right,attr,oracle,,,0,0,,15,25,381
12975037,On which side of the photo is the salad?,right,attr,detected,,,0,0,,4,9,147
18934678,Is the man in the bottom part of the picture?,yes,attr,oracle,,,0,0,,15,25,350
18934678,Is the man in the bottom part of the picture?,yes,attr,detected,,,0,0,,2,8,130
15974537,Do the tennis racket and the shirt have a different colors?,yes,attr,oracle,,,0,0,,7,15,233
15974537,Do the tennis racket and the shirt have a different colors?,yes,attr,detected,,,0,0,,1,0,84
12962486,Which side is the chair on?,right,attr,oracle,,,0,0,,15,25,330
12962486,Which side is the chair on?,right,attr,detected,,,0,0,,3,6,115
13514980,Does the cow in front of the path look young and black and white?,yes,attr,oracle,,,0,0,,6,8,181
13514980,Does the cow in front of the path look young and black and white?,yes,attr,detected,,,0,0,,2,3,117
6898979,Does the helmet appear to be green or white?,green,attr,oracle,,,0,0,,15,25,325
6898979,Does the helmet appear to be green or white?,green,attr,detected,,,0,0,,2,3,103
2454662,On which side are the glasses?,left,attr,oracle,,,0,0,,15,25,275
2454662,On which side are the glasses?,left,attr,detected,,,0,0,,2,5,108
1928925,Does the end table that is to the right of the CDs have brown color?,no,attr,oracle,,,0,0,,15,25,345
1928925,Does the end table that is to the right of the CDs have brown color?,no,attr,detected,,,0,0,,5,12,171
1476398,Does the bird look brown?,no,attr,oracle,,,0,0,,5,2,122
1476398,Does the bird look brown?,no,attr,detected,,,0,0,,1,0,78
15198505,Is the fresh fruit in the top part of the picture?,no,attr,oracle,,,0,0,,15,25,288
15198505,Is the fresh fruit in the top part of the picture?,no,attr,detected,,,0,0,,4,12,147
10519313,Of which color is that hair?,gray,attr,oracle,,,0,0,,10,16,239
10519313,Of which color is that hair?,gray,attr,detected,,,0,0,,2,1,84
3534125,Is the vase on the right side or on the left?,right,attr,oracle,,,0,0,,15,25,322
3534125,Is the vase on the right side or on the left?,right,attr,detected,,,0,0,,3,9,138
11486375,"How does the tall grass look, green or brown?",brown,attr,oracle,,,0,0,,15,25,359
11486375,"How does the tall grass look, green or brown?",brown,attr,detected,,,0,0,,2,15,161
553483,On which side of the photo is the cabinet?,right,attr,oracle,,,0,0,,14,25,324
553483,On which side of the photo is the cabinet?,right,attr,detected,,,0,0,,4,5,109
2468206,What is the color of the cat's fur?,orange,attr,oracle,,,0,0,,5,5,131
2468206,What is the color of the cat's fur?,orange,attr,detected,,,0,0,,2,1,87
11198865,"In which part of the photo are the wood chairs, the top or the bottom?",top,attr,oracle,,,0,0,,15,25,386
11198865,"In which part of the photo are the wood chairs, the top or the bottom?",top,attr,detected,,,0,0,,3,12,164
17233908,What color do you think the jacket that the woman is wearing is?,red,attr,oracle,,,0,0,,15,25,381
17233908,What color do you think the jacket that the woman is wearing is?,red,attr,detected,,,0,0,,1,5,111
1928697,What color is the chair made of plastic?,blue,attr,oracle,,,0,0,,15,25,338
1928697,What color is the chair made of plastic?,blue,attr,detected,,,0,0,,5,12,164
165367,What is the boy doing?,jumping,attr,oracle,,,0,0,,15,25,371
165367,What is the boy doing?,jumping,attr,detected,,,0,0,,3,8,123
