sample_index,image_id,question,ground_truth,prediction,latency_sec
0,2409655,On which side of the picture is the chimney?,right,Right,9.620451211929321
1,2352072,"What material do you think is the boot, rubber or leather?",rubber,Rubber,4.564841985702515
2,2388049,Is the camera in the bottom part or in the top of the photo?,top,Bottom,4.409138917922974
3,2392384,Is that bus teal and long?,yes,Yes,4.353028297424316
4,2352021,On which side of the image is the toilet paper?,right,Left,4.398492813110352
5,2385218,Does this plane look white and huge?,no,Yes,4.355135917663574
6,2382242,Which color is the floor?,brown,Blue,4.42399001121521
7,2340293,On which side of the photo is the full boat?,right,Left,4.518484830856323
8,2381600,Is the color of the boat the same as the sky?,yes,Yes,4.461374759674072
9,2393484,Is the umbrella that is to the right of the glasses light blue or pink?,pink,Pink,4.3646440505981445
10,2367852,Is the catcher on the left side?,no,No,4.4145472049713135
11,2399683,On which side of the photo is the American flag?,left,Left,4.342015981674194
12,2334664,Is that a blue airplane?,yes,No,4.35641884803772
13,2411136,On which side of the photo is the little doll?,left,Right,4.342105150222778
14,2362150,On which side of the photo is the picture?,left,Left,4.332639932632446
15,2336923,"Where in the photo is the cat, in the top or in the bottom?",bottom,Bottom,4.390552759170532
16,2400422,Does the blue sky look full and clear?,no,Yes,4.335582971572876
17,2385432,On which side of the picture is the gas stove?,left,Right,4.337543964385986
18,2318376,Is the shirt short sleeved or long sleeved?,short sleeved,Short sleeved,4.489471912384033
19,2344540,Does the clock look white and large?,no,Yes,4.338106155395508
20,2409579,Is the truck on the right?,yes,No,4.337179899215698
21,370,Do the fan and the box have a different colors?,no,Yes,4.341064214706421
22,2338671,Which side of the image is the house on?,left,Left,4.342282056808472
23,2374816,Which color are the trousers?,tan,Tan,4.341639280319214
24,2346104,Does the lamp on the ceiling look colorful?,yes,No,4.348165035247803
25,2319140,Are the flags on the left side?,no,Yes,4.334482908248901
26,2370134,Are the vase and the pitcher made of the same material?,yes,No,4.33978533744812
27,2340446,Which part of the photo is the zebra in?,left,No zebra,4.488602161407471
28,2404130,On which side of the photo is the salad?,right,Right,4.34182596206665
